,Date,Close
465,2021-11-04,15.44
466,2021-11-05,16.48
467,2021-11-08,17.22
468,2021-11-09,17.78
469,2021-11-10,18.73
470,2021-11-11,17.66
471,2021-11-12,16.29
472,2021-11-15,16.49
473,2021-11-16,16.37
474,2021-11-17,17.11
475,2021-11-18,17.59
476,2021-11-19,17.91
477,2021-11-22,19.17
478,2021-11-23,19.38
479,2021-11-24,18.58
480,2021-11-26,28.62
481,2021-11-29,22.96
482,2021-11-30,27.19
483,2021-12-01,31.12
484,2021-12-02,27.95
485,2021-12-03,30.67
486,2021-12-06,27.18
487,2021-12-07,21.89
488,2021-12-08,19.9
489,2021-12-09,21.58
490,2021-12-10,18.69
491,2021-12-13,20.31
492,2021-12-14,21.89
493,2021-12-15,19.29
494,2021-12-16,20.57
495,2021-12-17,21.57
496,2021-12-20,22.87
497,2021-12-21,21.01
498,2021-12-22,18.63
499,2021-12-23,17.96
500,2021-12-27,17.68
501,2021-12-28,17.54
502,2021-12-29,16.95
503,2021-12-30,17.33
504,2021-12-31,17.22
505,2022-01-03,16.6
506,2022-01-04,16.91
507,2022-01-05,19.73
508,2022-01-06,19.61
509,2022-01-07,18.76
510,2022-01-10,19.4
511,2022-01-11,18.41
512,2022-01-12,17.62
513,2022-01-13,20.31
514,2022-01-14,19.19
515,2022-01-18,22.79
516,2022-01-19,23.85
517,2022-01-20,25.59
518,2022-01-21,28.85
519,2022-01-24,29.9
520,2022-01-25,31.16
521,2022-01-26,31.96
522,2022-01-27,30.49
523,2022-01-28,27.66
524,2022-01-31,24.83
525,2022-02-01,21.96
526,2022-02-02,22.09
527,2022-02-03,24.35
528,2022-02-04,23.22
529,2022-02-07,22.86
530,2022-02-08,21.44
531,2022-02-09,19.96
532,2022-02-10,23.91
533,2022-02-11,27.36
534,2022-02-14,28.33
535,2022-02-15,25.7
536,2022-02-16,24.29
537,2022-02-17,28.11
538,2022-02-18,27.75
539,2022-02-22,28.81
540,2022-02-23,31.02
541,2022-02-24,30.32
542,2022-02-25,27.59
543,2022-02-28,30.15
544,2022-03-01,33.32
545,2022-03-02,30.74
546,2022-03-03,30.48
547,2022-03-04,31.98
548,2022-03-07,36.45
549,2022-03-08,35.13
550,2022-03-09,32.45
551,2022-03-10,30.23
552,2022-03-11,30.75
553,2022-03-14,31.77
554,2022-03-15,29.83
555,2022-03-16,26.67
556,2022-03-17,25.67
557,2022-03-18,23.87
558,2022-03-21,23.53
559,2022-03-22,22.94
560,2022-03-23,23.57
561,2022-03-24,21.67
562,2022-03-25,20.81
563,2022-03-28,19.63
564,2022-03-29,18.9
565,2022-03-30,19.33
566,2022-03-31,20.56
567,2022-04-01,19.63
568,2022-04-04,18.57
569,2022-04-05,21.03
570,2022-04-06,22.1
571,2022-04-07,21.55
572,2022-04-08,21.16
573,2022-04-11,24.37
574,2022-04-12,24.26
575,2022-04-13,21.82
576,2022-04-14,22.7
577,2022-04-18,22.17
578,2022-04-19,21.37
579,2022-04-20,20.32
580,2022-04-21,22.68
581,2022-04-22,28.21
582,2022-04-25,27.02
583,2022-04-26,33.52
584,2022-04-27,31.6
585,2022-04-28,29.99
586,2022-04-29,33.4
587,2022-05-02,32.34
588,2022-05-03,29.25
589,2022-05-04,25.42
590,2022-05-05,31.2
591,2022-05-06,30.19
592,2022-05-09,34.75
593,2022-05-10,32.99
594,2022-05-11,32.56
595,2022-05-12,31.77
596,2022-05-13,28.87
597,2022-05-16,27.47
598,2022-05-17,26.1
599,2022-05-18,30.96
600,2022-05-19,29.35
601,2022-05-20,29.43
602,2022-05-23,28.48
603,2022-05-24,29.45
